subcategory,cv,volatility_group,month_minus_3,month_minus_2,month_minus_1,prediction,historical_avg,actual,mape
薄鹽鯖魚,0.26316295228242875,低波動,12488.0,14237.0,391.0,9961.66102638525,11514.548888888889,0,999
青花菜,0.5404934290616181,中波動,14946.0,8642.0,100.0,8290.800000000001,8882.077777777778,0,999
水煮蛋,0.4982692831034343,中波動,8600.0,8770.0,1050.0,7034.0551399999995,9001.25,0,999
白花菜,0.4598346955997546,中波動,5100.0,4862.0,60.0,3467.0,3647.0,0,999
玉米粒,0.6224557683324737,中波動,6728.0,6556.0,40.0,3827.8123393355136,3583.714285714286,0,999
虱目魚肚,0.7508584255632087,中波動,2810.0,2120.0,100.0,1760.5000000000002,1461.611111111111,0,999
白帶魚切塊,0.2020143419667766,低波動,1152.18,1110.0,0.0,1401.177162947344,1332.1047058823528,0,999
四季豆,0.5823581776292996,中波動,2683.0,1081.0,0.0,1396.5465743058235,1112.235294117647,0,999
肉魚,0.5093975825767003,中波動,1090.0,1290.0,10.0,817.7526339577012,814.2594444444444,0,999
脆皮預炸三節翅,0.23005176187544998,低波動,3000.0,3050.0,0.0,3556.25,3556.25,0,999
暑魚清肉,0.3945523309689901,低波動,923.0,845.0,13.0,573.1751139248576,696.2222222222222,0,999
杏鮑菇下角料,0.42346694116856204,中波動,1452.0,1551.0,30.0,1061.55,1132.3636363636363,0,999
吳郭魚,0.40667264556528565,中波動,1100.0,707.15,0.0,814.4538038314204,676.7735294117647,0,999
蜜汁棒腿,0.49725998535875987,中波動,1000.0,1120.0,0.0,990.4726285857989,665.8823529411765,0,999
白口魚,0.7268908844853355,中波動,1090.0,1100.0,0.0,1061.0851932386422,625.2941176470588,0,999
阿里山熟烤棒腿,0.49840120187437237,中波動,570.0,570.0,0.0,558.8244002973738,467.7647058823529,0,999
哈克魚,0.2156393805836033,低波動,490.0,490.0,0.0,491.44048609168146,411.0882352941176,0,999
烏魚切塊,0.31904664029121477,低波動,581.2,601.0,0.0,699.236002134945,530.4284615384615,0,999
毛豆仁,0.29183971993489066,低波動,639.0,734.0,0.0,601.8209984540536,499.46153846153845,0,999
醬燒熟烤棒腿,1.7050855523234014,高波動,150.0,125.0,0.0,150.0,431.6666666666667,0,999
三色混合蔬菜,0.2330340956595925,低波動,418.0,340.0,0.0,323.82172309404996,305.11764705882354,0,999
海苔柳葉魚,0.6906721198551723,中波動,10.0,130.0,0.0,159.76974165551445,315.3125,0,999
蒲燒鰻魚片,0.6446508048983527,中波動,659.0,533.28,0.0,478.9975408576024,281.30529411764707,0,999
雨傘旗清肉,0.08098544298396251,低波動,255.0,255.0,0.0,272.5823765479616,270.0,0,999
紅斑魚片,0.3558324259969923,低波動,228.0,234.0,6.0,165.43958659701653,254.60555555555555,0,999
鱸魚切塊,0.3346554098668557,低波動,213.36,170.0,0.0,183.5835421434796,252.40764705882353,0,999
鮭魚下巴,0.4281617316094907,中波動,300.0,705.0,2.0,352.45000000000005,387.54545454545456,0,999
金目鱸魚,0.8886005924673778,高波動,349.0,420.0,0.0,242.0,247.16470588235293,0,999
杏鮑菇角料,0.3241383211825256,低波動,528.0,426.0,0.0,456.51942617445883,399.9,0,999
鯖魚整尾,0.1956372329020644,低波動,216.0,288.0,0.0,234.1470500962904,228.7058823529412,0,999
暑魚切塊,0.4163116318659395,中波動,210.0,206.5,0.0,212.95440106803002,227.36176470588236,0,999
冰心地瓜,0.36495691588501233,低波動,109.0,230.0,0.0,123.63931539496775,194.64705882352942,0,999
魷魚條,0.2271650713202044,低波動,194.0,203.0,0.0,225.6813213919288,193.38823529411764,0,999
鰈魚,0.4985646429913197,中波動,0.0,0.0,0.0,0.0,251.75833333333333,0,0
虱目魚排,0.45083276489989477,中波動,120.1,300.0,0.0,174.30180997875675,170.45882352941177,0,999
赤宗,0.2811953551955043,低波動,0.0,190.0,0.0,131.6546435499678,190.52666666666667,0,999
蒲燒腹排,0.532854336194295,中波動,320.0,380.0,0.0,283.18012454362724,167.66764705882352,0,999
銀鯰魚片,0.17062971477171096,低波動,188.0,190.0,0.0,187.199762167888,165.2941176470588,0,999
鮭魚清肉,0.6542854290746851,中波動,363.0,1560.0,0.0,897.915,921.0,0,999
秋刀,0.6887095329738686,中波動,260.0,299.0,2.0,154.0,133.30555555555554,0,999
薄鹽鯖魚切塊,0.4561023454456811,中波動,96.0,126.0,0.0,115.0606141164872,134.0,0,999
火鍋豬肉片,0.12006968531267058,低波動,122.0,148.0,0.0,130.1864096820955,131.58823529411765,0,999
芋頭塊,0.48372004141515973,中波動,108.0,96.0,0.0,100.80000000000001,105.52941176470588,0,999
黃金日式厚切豬排,0.34934242848843755,低波動,135.0,115.1,1.0,108.67537998466713,92.5,0,999
香茅檸檬腿排,0.2941845731825193,低波動,117.0,110.0,1.0,88.74054774415778,92.08666666666667,0,999
黃金柳葉魚,0.4898015797018054,中波動,174.0,174.0,0.0,150.7688596505089,95.6470588235294,0,999
玉米筍切段,0.5527557061880877,中波動,222.0,0.0,0.0,0.0,101.4375,0,0
馬鈴薯丁,0.30228266772427015,低波動,112.0,105.0,0.0,88.650447789179,76.94117647058823,0,999
菠菜,0.7792177165922756,中波動,776.0,187.0,0.0,308.44499999999994,410.0,0,999
鐵路大排,0.4114645136597451,中波動,66.0,42.0,0.0,52.27527491468097,69.91176470588235,0,999
午仔魚一夜干,0.6795193375898521,中波動,57.0,56.0,0.0,55.3,73.0625,0,999
雨傘旗魚腹肉,0.8131104454110865,高波動,67.0,12.0,0.0,42.0,65.45882352941176,0,999
大比目魚,0.4851180332381389,中波動,0.0,0.0,0.0,0.0,216.0,0,0
咕咾肉,0.4367968540533126,中波動,98.0,87.0,10.0,63.40350454827011,59.33888888888889,0,999
鱸魚下巴,1.1364877286028496,高波動,20.0,30.0,0.0,30.0,65.81375,0,999
紅蘿蔔丁,0.6430321987249783,中波動,86.0,94.0,0.0,81.55000000000001,61.294117647058826,0,999
紐澳良腿排,0.14526109807863247,低波動,61.0,79.0,0.0,62.18950468554193,58.54941176470588,0,999
魷魚頭,0.4400777611137477,中波動,66.0,30.0,0.0,42.5789374156933,57.88235294117647,0,999
無骨香酥雞排,0.13250225098686916,低波動,63.0,61.0,0.0,57.23504750359074,57.84823529411765,0,999
鮭魚條肉,0.6323949855331608,中波動,1.0,123.0,0.0,67.15460152885798,75.15384615384616,0,999
黑鯧,0.47216080011431855,中波動,0.0,0.0,0.0,0.0,66.15384615384616,0,0
鹹豬肉片,0.34622797016608997,低波動,48.0,60.0,0.0,59.5962556949578,50.294117647058826,0,999
大比目魚切片,0.1711632992203644,低波動,130.0,160.0,0.0,160.0,160.0,0,999
特級鱸魚片,0.566809330425481,中波動,40.0,146.0,0.0,77.41222283380148,57.00692307692308,0,999
鮭魚清肉丁,0.36538204528745294,低波動,93.0,60.0,0.0,96.14813554412892,67.5,0,999
黑輪片,0.5639982888791719,中波動,45.0,27.0,0.0,43.7296145744791,39.35294117647059,0,999
