iter	Passed	Remaining
0	59	29675
1	80	20130
2	91	15131
3	101	12584
4	111	11076
5	123	10138
6	138	9734
7	149	9166
8	154	8437
9	159	7818
10	169	7521
11	177	7215
12	187	7026
13	192	6676
14	202	6549
15	210	6361
16	218	6222
17	227	6088
18	236	5990
19	247	5938
20	256	5847
21	269	5856
22	282	5866
23	289	5747
24	302	5742
25	317	5793
26	332	5825
27	344	5814
28	363	5908
29	377	5915
30	389	5888
31	398	5823
32	415	5884
33	430	5897
34	444	5900
35	451	5822
36	460	5763
37	468	5700
38	475	5622
39	484	5571
40	491	5499
41	503	5494
42	520	5535
43	533	5524
44	546	5530
45	558	5508
46	568	5476
47	582	5489
48	590	5438
49	598	5388
50	608	5356
51	619	5339
52	633	5344
53	644	5326
54	655	5301
55	664	5268
56	676	5261
57	683	5211
58	695	5196
59	704	5166
60	712	5130
61	721	5094
62	729	5060
63	738	5028
64	748	5008
65	758	4988
66	765	4949
67	781	4965
68	791	4942
69	801	4921
70	812	4907
71	823	4892
72	832	4872
73	846	4871
74	854	4842
75	860	4802
76	869	4777
77	879	4759
78	894	4767
79	905	4756
80	919	4755
81	927	4725
82	939	4721
83	946	4685
84	955	4666
85	962	4632
86	972	4617
87	986	4619
88	998	4612
89	1013	4618
90	1028	4623
91	1043	4628
92	1055	4617
93	1065	4601
94	1079	4603
95	1088	4580
96	1092	4539
97	1101	4519
98	1110	4499
99	1120	4480
100	1128	4458
101	1141	4454
102	1152	4442
103	1159	4416
104	1168	4394
105	1177	4376
106	1190	4374
107	1206	4380
108	1221	4381
109	1231	4367
110	1241	4349
111	1252	4339
112	1268	4343
113	1279	4332
114	1289	4318
115	1299	4302
116	1306	4278
117	1314	4255
118	1323	4238
119	1335	4229
120	1343	4209
121	1348	4179
122	1355	4154
123	1364	4136
124	1372	4117
125	1380	4096
126	1387	4075
127	1395	4056
128	1404	4040
129	1416	4031
130	1429	4027
131	1446	4033
132	1457	4020
133	1473	4025
134	1483	4011
135	1490	3989
136	1497	3967
137	1505	3948
138	1514	3934
139	1522	3915
140	1529	3895
141	1540	3883
142	1549	3868
143	1559	3854
144	1566	3836
145	1576	3822
146	1586	3808
147	1597	3798
148	1606	3784
149	1613	3765
150	1626	3759
151	1631	3735
152	1646	3734
153	1661	3733
154	1675	3730
155	1690	3727
156	1703	3721
157	1714	3710
158	1722	3695
159	1731	3679
160	1740	3664
161	1749	3650
162	1761	3642
163	1772	3632
164	1783	3620
165	1791	3605
166	1802	3594
167	1817	3591
168	1838	3601
169	1854	3600
170	1870	3598
171	1885	3596
172	1898	3588
173	1914	3586
174	1929	3584
175	1942	3576
176	1953	3564
177	1966	3557
178	1975	3542
179	1984	3527
180	1991	3510
181	2000	3495
182	2008	3479
183	2018	3465
184	2027	3452
185	2035	3436
186	2044	3422
187	2055	3411
188	2065	3398
189	2077	3390
190	2091	3383
191	2104	3376
192	2117	3368
193	2132	3362
194	2139	3346
195	2150	3334
196	2156	3316
197	2164	3300
198	2171	3285
199	2184	3276
200	2191	3260
201	2199	3244
202	2209	3233
203	2223	3225
204	2231	3210
205	2244	3203
206	2250	3185
207	2258	3170
208	2268	3158
209	2283	3153
210	2293	3141
211	2303	3129
212	2313	3116
213	2324	3106
214	2331	3089
215	2341	3078
216	2354	3070
217	2363	3057
218	2371	3042
219	2385	3036
220	2395	3023
221	2402	3008
222	2410	2994
223	2418	2979
224	2427	2967
225	2434	2951
226	2444	2939
227	2456	2931
228	2465	2917
229	2484	2916
230	2493	2903
231	2502	2891
232	2519	2886
233	2527	2873
234	2537	2861
235	2547	2849
236	2556	2837
237	2565	2824
238	2579	2816
239	2588	2804
240	2595	2789
241	2605	2777
242	2617	2768
243	2633	2763
244	2645	2753
245	2660	2747
246	2674	2739
247	2687	2731
248	2695	2716
249	2702	2702
250	2710	2689
251	2719	2676
252	2728	2663
253	2736	2650
254	2744	2636
255	2756	2627
256	2765	2614
257	2772	2600
258	2782	2589
259	2793	2578
260	2801	2565
261	2808	2551
262	2816	2538
263	2828	2528
264	2836	2515
265	2844	2501
266	2854	2490
267	2861	2477
268	2876	2470
269	2888	2460
270	2894	2445
271	2903	2434
272	2917	2425
273	2933	2419
274	2947	2411
275	2957	2399
276	2965	2387
277	2974	2375
278	2985	2364
279	2992	2351
280	3000	2338
281	3007	2325
282	3019	2314
283	3032	2306
284	3043	2296
285	3051	2283
286	3063	2273
287	3071	2260
288	3081	2249
289	3089	2237
290	3098	2225
291	3108	2214
292	3116	2201
293	3123	2188
294	3132	2176
295	3141	2165
296	3152	2154
297	3160	2142
298	3168	2130
299	3183	2122
300	3195	2112
301	3202	2099
302	3211	2088
303	3224	2079
304	3238	2070
305	3250	2061
306	3264	2052
307	3280	2044
308	3293	2035
309	3299	2022
310	3306	2009
311	3314	1997
312	3323	1985
313	3331	1973
314	3340	1961
315	3347	1949
316	3355	1936
317	3364	1925
318	3375	1915
319	3384	1903
320	3391	1891
321	3399	1879
322	3410	1868
323	3418	1856
324	3428	1845
325	3437	1834
326	3451	1825
327	3460	1814
328	3467	1802
329	3478	1791
330	3487	1780
331	3497	1769
332	3511	1760
333	3523	1751
334	3539	1743
335	3553	1734
336	3565	1724
337	3577	1714
338	3589	1704
339	3599	1693
340	3612	1684
341	3626	1675
342	3639	1665
343	3649	1655
344	3657	1643
345	3665	1631
346	3674	1620
347	3688	1611
348	3702	1601
349	3715	1592
350	3723	1580
351	3732	1569
352	3743	1558
353	3752	1547
354	3764	1537
355	3772	1525
356	3780	1514
357	3788	1502
358	3798	1491
359	3809	1481
360	3823	1472
361	3835	1462
362	3841	1449
363	3851	1438
364	3861	1428
365	3870	1417
366	3880	1406
367	3892	1396
368	3901	1384
369	3908	1373
370	3917	1362
371	3925	1350
372	3934	1339
373	3942	1328
374	3953	1317
375	3961	1306
376	3975	1297
377	3990	1287
378	4004	1278
379	4019	1269
380	4034	1260
381	4045	1249
382	4059	1240
383	4073	1230
384	4086	1220
385	4098	1210
386	4106	1199
387	4114	1187
388	4122	1176
389	4130	1165
390	4144	1155
391	4153	1144
392	4163	1133
393	4172	1122
394	4181	1111
395	4191	1100
396	4199	1089
397	4210	1079
398	4218	1067
399	4226	1056
400	4237	1046
401	4246	1035
402	4257	1024
403	4266	1013
404	4277	1003
405	4289	993
406	4297	981
407	4306	971
408	4315	960
409	4325	949
410	4333	938
411	4341	927
412	4356	917
413	4366	906
414	4377	896
415	4385	885
416	4396	874
417	4403	863
418	4412	852
419	4419	841
420	4432	831
421	4445	821
422	4455	811
423	4468	801
424	4479	790
425	4488	779
426	4498	769
427	4506	758
428	4518	747
429	4527	737
430	4537	726
431	4547	715
432	4556	705
433	4567	694
434	4576	683
435	4587	673
436	4601	663
437	4612	652
438	4622	642
439	4634	631
440	4641	621
441	4652	610
442	4664	600
443	4671	589
444	4681	578
445	4690	567
446	4700	557
447	4707	546
448	4716	535
449	4725	525
450	4734	514
451	4740	503
452	4753	493
453	4764	482
454	4775	472
455	4786	461
456	4796	451
457	4804	440
458	4811	429
459	4823	419
460	4833	408
461	4846	398
462	4857	388
463	4869	377
464	4881	367
465	4892	356
466	4900	346
467	4912	335
468	4927	325
469	4941	315
470	4955	305
471	4966	294
472	4975	284
473	4987	273
474	4995	262
475	5004	252
476	5011	241
477	5023	231
478	5031	220
479	5040	210
480	5049	199
481	5059	188
482	5071	178
483	5084	168
484	5098	157
